#Replace 6/29 with the 6/28, since there were some duplicates that were cleaned and the count was actually zero on 6/30.  Leave one death so when plotted on a log scale it will be ok.
20200629 111	103628	837147	7873	NaN	762	23409	138	5105
20200630 112	103701	842960	7874	NaN	733	23453	120	5106
20200701 113	103858	853150	7902	NaN	760	23458	123	5127
20200702 114	104016	860936	7918	NaN	681	23497	113	5141
20200703 115	104228	872380	7935	NaN	656	23532	106	5152
20200704 116	104391	880320	7958	NaN	640	23544	107	5168
20200705 117	104502	886213	7968	NaN	636	23554	100	5173
20200706 118	104659	893939	7983	NaN	603	23555	99	5184
20200707 119	104799	901221	7998	NaN	621	23595	104	5193
20200708 120	104961	910354	8028	NaN	662	23612	102	5220
20200709 121	105138	920002	8053	NaN	635	23630	103	5241
20200710 122	105290	932796	8081	NaN	632	23648	98	5258
20200711 123	105457	940393	8095	NaN	572	23667	87	5268
20200712 124	105629	951512	8110	NaN	583	23674	93	5274
20200713 125	105783	960099	8115	NaN	570	23686	89	5277
20200714 126	105986	972070	8125	NaN	560	23733	93	5282
20200715 127	106128	982494	8152	NaN	580	23759	80	5303
20200716 128	106271	995374	8163	NaN	557	23760	77	5312
20200717 129	106487	1008195	8184	NaN	515	23793	76	5328
20200718 130	106664	1020259	8201	NaN	499	23832	86	5349
20200719 131	106882	1033883	8213	NaN	498	23841	64	5361
20200720 132	107056	1044548	8214	NaN	483	23844	67	5361
20200721 133	107221	1052369	8231	NaN	513	23872	63	5374
20200722 134	107413	1063155	8249	NaN	532	23900	63	5387
20200723 135	107683	1079288	8265	NaN	351	23956	59	5398
20200724 136	107897	1092392	8279	NaN	397	24014	49	5411
20200725 137	108107	1103722	8291	NaN	371	24046	50	5421
20200726 138	108380	1113502	8310	NaN	364	24055	56	5433
20200727 139	108562	1123793	8317	NaN	350	24059	57	5437
#date    daynum cases	tests	deaths	NaN	hosp	ltccase	icu	ltcdeaths
